date,gold,oil
7/24/2014,1.275437724,1.848302829
7/25/2014,1.413255775,1.849182306
7/28/2014,1.431278136,1.830713284
7/29/2014,1.375090776,1.799931581
7/30/2014,1.368729943,1.769149877
7/31/2014,1.213949671,1.676804766
8/1/2014,1.315723001,1.664052346
8/4/2014,1.218190226,1.68208163
8/5/2014,1.1874462,1.642065415
8/6/2014,1.438699107,1.621837438
8/7/2014,1.487465495,1.640306461
8/8/2014,1.472623551,1.653938358
8/11/2014,1.468382995,1.672847119
8/12/2014,1.466262718,1.641625676
8/13/2014,1.493826328,1.651299926
8/14/2014,1.506547994,1.562912463
8/15/2014,1.403714525,1.640746199
8/18/2014,1.333745361,1.599410769
8/19/2014,1.293460085,1.514541214
8/20/2014,1.293460085,1.584459655
8/21/2014,1.083552592,1.491674806
8/22/2014,1.135499396,1.478042909
8/25/2014,1.124898008,1.46485075
8/26/2014,1.190626616,1.48727742
8/27/2014,1.165183284,1.488156897
8/28/2014,1.238332865,1.517619385
8/29/2014,1.204408421,1.579622531
9/1/2014,-0.101682643,1.573905929
9/2/2014,0.97541843,1.444183035
9/3/2014,1.044327455,1.561153508
9/4/2014,1.010403012,1.513221999
9/5/2014,1.019944261,1.462212318
9/8/2014,0.882126211,1.434508785
9/9/2014,0.822758435,1.438466433
9/10/2014,0.795194825,1.390974661
9/11/2014,0.725225661,1.441984342
9/12/2014,0.644655108,1.417358979
9/15/2014,0.681759968,1.445941989
9/16/2014,0.699782328,1.532130759
9/17/2014,0.68918094,1.511902783
9/18/2014,0.598008999,1.452538069
9/19/2014,0.488814697,1.42351532
9/22/2014,0.500476224,1.384378582
9/23/2014,0.53228039,1.386137537
9/24/2014,0.507897196,1.440665126
9/25/2014,0.523799279,1.428792183
9/26/2014,0.460190948,1.473205784
9/29/2014,0.49517553,1.518498862
9/30/2014,0.42096581,1.368547992
10/1/2014,0.45807067,1.349639231
10/2/2014,0.435807754,1.361951912
10/3/2014,0.211058318,1.306105107
10/6/2014,0.357357479,1.332489425
