date,price
12/1/2014,1302.5
12/2/2014,1284.7
12/3/2014,1295.8
12/4/2014,1294.2
12/5/2014,1280.8
12/8/2014,1284.4
12/9/2014,1320.2
12/10/2014,1315.5
12/11/2014,1312.3
12/12/2014,1303.5
12/15/2014,1287.7
12/16/2014,1272
12/17/2014,1272.3
12/18/2014,1273.9
12/19/2014,1275.6
12/22/2014,1259.7
12/23/2014,1259.7
12/24/2014,1255.6
12/25/2014,1177
12/26/2014,1277.7
12/29/2014,1262.9
12/30/2014,1281.9
12/31/2014,1265.4
1/1/2015,1186.8
1/2/2015,1267.7
1/5/2015,1283.5
1/6/2015,1292.2
1/7/2015,1283.6
1/8/2015,1281.6
1/9/2015,1287.4
1/12/2015,1303.2
1/13/2015,1304.5
1/14/2015,1294.5
1/15/2015,1322.8
1/16/2015,1334.9
1/19/2015,1275.9
1/20/2015,1352.4
1/21/2015,1353.4
1/22/2015,1365.2
1/23/2015,1357.6
1/26/2015,1345.6
1/27/2015,1354.7
1/28/2015,1346.9
1/29/2015,1315.8
1/30/2015,1336.6
2/2/2015,1334.4
2/3/2015,1319.3
2/4/2015,1325.4
2/5/2015,1323.9
2/6/2015,1301.6
2/9/2015,1308.9
2/10/2015,1300.2
2/11/2015,1288.2
2/12/2015,1287.7
2/13/2015,1294.2
2/16/2015,1231.7
2/17/2015,1278.9
2/18/2015,1270.5
2/19/2015,1275.9
2/20/2015,1272.2
2/23/2015,1267.7
2/24/2015,1262.1
2/25/2015,1265
2/26/2015,1275.1
2/27/2015,1278.4
3/2/2015,1274.8
3/3/2015,1273.2
3/4/2015,1269.6
3/5/2015,1265.1
3/6/2015,1234.6
3/9/2015,1237
3/10/2015,1227.1
3/11/2015,1217.4
3/12/2015,1218
3/13/2015,1217.9
3/16/2015,1218.3
3/17/2015,1213.5
3/18/2015,1216.5
3/19/2015,1228.5
3/20/2015,1243.7
3/23/2015,1246.5
3/24/2015,1250.2
3/25/2015,1256.3
3/26/2015,1266
3/27/2015,1260.9
3/30/2015,1245.4
3/31/2015,1241.2
4/1/2015,1263.2
4/2/2015,1257.2
4/3/2015,1257.2
4/6/2015,1274.4
4/7/2015,1267.4
4/8/2015,1260.1
4/9/2015,1250.6
4/10/2015,1262.3
4/13/2015,1256.8
4/14/2015,1247.1
4/15/2015,1255.5
4/16/2015,1252
4/17/2015,1257.1
4/20/2015,1248.3
4/21/2015,1258.1
4/22/2015,1243.7
4/23/2015,1251
4/24/2015,1229.4
4/27/2015,1258.2
4/28/2015,1270.4
4/29/2015,1269
4/30/2015,1242
5/1/2015,1235.1
5/4/2015,1248
5/5/2015,1257.2
5/6/2015,1255.7
5/7/2015,1247.5
5/8/2015,1251.5
5/11/2015,1246.3
5/12/2015,1256
5/13/2015,1281.2
5/14/2015,1288
5/15/2015,1287.9
5/18/2015,1290.2
5/19/2015,1270.4
5/20/2015,1272.5
5/21/2015,1267.1
5/22/2015,1268.7
5/25/2015,1207.4
5/26/2015,1251.2
5/27/2015,1249.6
5/28/2015,1251.5
5/29/2015,1251.7
6/1/2015,1251.4
6/2/2015,1258.8
6/3/2015,1250.9
6/4/2015,1241.1
6/5/2015,1237.6
6/8/2015,1243
6/9/2015,1247.8
6/10/2015,1259.6
6/11/2015,1253.6
6/12/2015,1252
6/15/2015,1256.8
6/16/2015,1250.4
