date,oil
10/29/2014,0.974542186
10/30/2014,0.927050414
10/31/2014,0.901545574
11/3/2014,0.824151577
11/4/2014,0.754233136
11/5/2014,0.81975419
11/6/2014,0.785894316
11/7/2014,0.818434975
11/10/2014,0.763467647
11/11/2014,0.787213532
11/12/2014,0.753793397
11/13/2014,0.623191026
11/14/2014,0.693988944
11/17/2014,0.686073649
11/18/2014,0.640780571
11/19/2014,0.639461355
11/20/2014,0.683435217
11/21/2014,0.724330909
11/24/2014,0.69222999
11/25/2014,0.617914162
11/26/2014,0.600324618
11/27/2014,0.374298965
11/28/2014,0.268761696
12/1/2014,0.394087203
12/2/2014,0.300862615
12/3/2014,0.322849547
12/4/2014,0.297784445
12/5/2014,0.255129799
12/8/2014,0.132442723
12/9/2014,0.166302597
12/10/2014,0.039657873
12/11/2014,-0.00387625
12/12/2014,-0.097980315
12/15/2014,-0.181530654
12/16/2014,-0.180651177
12/17/2014,-0.156905291
12/18/2014,-0.260683606
12/19/2014,-0.154706598
12/22/2014,-0.210113664
12/23/2014,-0.12832228
12/24/2014,-0.184608824
12/25/2014,-0.181090915
12/26/2014,-0.233419811
12/29/2014,-0.282670537
12/30/2014,-0.260243867
12/31/2014,-0.29762165
1/1/2015,-0.240895368
1/2/2015,-0.32312649
1/5/2015,-0.439657225
1/6/2015,-0.532442075
1/7/2015,-0.500780894
1/8/2015,-0.494624553
1/9/2015,-0.513533314
1/12/2015,-0.614233459
1/13/2015,-0.622148754
1/14/2015,-0.508256451
1/15/2015,-0.606318163
1/16/2015,-0.49902194
1/19/2015,-0.539038154
1/20/2015,-0.600161823
1/21/2015,-0.539038154
1/22/2015,-0.603679732
1/23/2015,-0.635340913
1/26/2015,-0.654689412
1/27/2015,-0.607197641
1/28/2015,-0.685471116
1/29/2015,-0.681953207
1/30/2015,-0.518810178
2/2/2015,-0.460324941
2/3/2015,-0.3072959
2/4/2015,-0.509575666
2/5/2015,-0.420308726
2/6/2015,-0.367100353
2/9/2015,-0.315650934
2/10/2015,-0.440536703
2/11/2015,-0.49242586
2/12/2015,-0.388207807
2/13/2015,-0.319168843
2/16/2015,-0.282670537
2/17/2015,-0.286188446
2/18/2015,-0.347312115
2/19/2015,-0.3904065
2/20/2015,-0.426465067
2/23/2015,-0.465601804
2/24/2015,-0.473077361
2/25/2015,-0.397882056
2/26/2015,-0.521888348
2/27/2015,-0.451969907
3/2/2015,-0.459445463
3/3/2015,-0.418549772
3/4/2015,-0.374136171
3/5/2015,-0.407996045
3/6/2015,-0.458565986
3/9/2015,-0.44141618
3/10/2015,-0.516611484
3/11/2015,-0.521888348
3/12/2015,-0.571139074
3/13/2015,-0.668321309
3/16/2015,-0.710536217
3/17/2015,-0.729005239
3/18/2015,-0.676236605
3/19/2015,-0.707018308
3/20/2015,-0.629624311
3/23/2015,-0.553549529
3/24/2015,-0.550911097
3/25/2015,-0.476155531
3/26/2015,-0.378533557
3/27/2015,-0.491106644
3/30/2015,-0.499461678
3/31/2015,-0.546953449
4/1/2015,-0.437458532
4/2/2015,-0.479233701
4/3/2015,-0.479233701
4/6/2015,-0.347312115
4/7/2015,-0.266400208
4/8/2015,-0.422947158
4/9/2015,-0.406676829
4/10/2015,-0.369299046
4/13/2015,-0.357426103
4/14/2015,-0.296742173
4/15/2015,-0.1604232
4/16/2015,-0.146351564
4/17/2015,-0.18900621
4/20/2015,-0.160862939
4/21/2015,-0.210113664
4/22/2015,-0.170537188
4/23/2015,-0.101058486
4/24/2015,-0.127003065
4/27/2015,-0.134038883
4/28/2015,-0.130960712
4/29/2015,-0.064120442
4/30/2015,-0.017947886
5/1/2015,-0.03905534
5/4/2015,-0.04872959
5/5/2015,0.015911988
5/6/2015,0.039218135
5/7/2015,-0.048289851
5/8/2015,-0.028501613
5/11/2015,-0.034657954
5/12/2015,0.03130284
5/13/2015,0.020309374
5/14/2015,-0.006954421
5/15/2015,-0.015309454
5/18/2015,-0.026742659
5/19/2015,-0.12216594
5/20/2015,-0.046530897
5/21/2015,0.029983624
5/22/2015,-0.013990239
5/25/2015,-0.008273636
5/26/2015,-0.088306066
5/27/2015,-0.111172474
5/28/2015,-0.103696918
5/29/2015,0.011514602
6/1/2015,0.007117215
6/2/2015,0.053729509
6/3/2015,-0.017508148
6/4/2015,-0.089625282
6/5/2015,-0.039934817
6/8/2015,-0.083468941
6/9/2015,0.004478784
6/10/2015,0.061205066
6/11/2015,0.032182317
6/12/2015,-0.003436512
6/15/2015,-0.022785011
6/16/2015,-0.002996773
6/17/2015,-0.005195466
6/18/2015,0.018110681
6/19/2015,-0.018827363
6/22/2015,-0.015749193
6/23/2015,0.042736044
6/24/2015,0.010195386
6/25/2015,-0.014869716
6/26/2015,-0.017947886
6/29/2015,-0.075113907
6/30/2015,-0.024983704
7/1/2015,-0.135358098
7/2/2015,-0.136677314
7/3/2015,-0.19868046
7/6/2015,-0.330162308
7/7/2015,-0.338957081
7/8/2015,-0.368859307
7/9/2015,-0.319168843
7/10/2015,-0.320927797
7/13/2015,-0.344673683
7/14/2015,-0.307735639
7/15/2015,-0.379413034
7/16/2015,-0.401399965
7/17/2015,-0.402279442
7/20/2015,-0.434820101
7/21/2015,-0.42558559
7/22/2015,-0.477035008
7/23/2015,-0.509575666
7/24/2015,-0.523207564
7/27/2015,-0.55618796
7/28/2015,-0.530243382
7/29/2015,-0.494624553
7/30/2015,-0.506497496
7/31/2015,-0.568060903
8/3/2015,-0.653809935
8/4/2015,-0.628744833
8/5/2015,-0.654689412
8/6/2015,-0.676236605
8/7/2015,-0.710975956
8/10/2015,-0.663044446
8/11/2015,-0.745715307
8/12/2015,-0.736041057
8/13/2015,-0.78309309
8/14/2015,-0.771220147
8/17/2015,-0.79892368
8/18/2015,-0.765943284
8/19/2015,-0.845975713
8/20/2015,-0.8310246
8/21/2015,-0.861366565
8/24/2015,-0.9585488
8/25/2015,-0.911496768
8/26/2015,-0.94271821
8/27/2015,-0.768581715
8/28/2015,-0.651611242
8/31/2015,-0.47659527
9/1/2015,-0.643256208
9/2/2015,-0.606318163
9/3/2015,-0.584331232
9/4/2015,-0.615112936
9/7/2015,-0.67447765
9/8/2015,-0.619950061
9/9/2015,-0.698663274
9/10/2015,-0.620829538
9/11/2015,-0.67755582
9/14/2015,-0.705259354
9/15/2015,-0.679314775
9/16/2015,-0.566741687
9/17/2015,-0.577735153
9/18/2015,-0.675357127
9/21/2015,-0.587409403
9/22/2015,-0.624787186
9/23/2015,-0.6841519
9/24/2015,-0.665243139
9/25/2015,-0.630503788
9/28/2015,-0.686350593
9/29/2015,-0.651171503
9/30/2015,-0.657327844
10/1/2015,-0.672718696
10/2/2015,-0.637539606
10/5/2015,-0.605878425
10/6/2015,-0.506057757
10/7/2015,-0.537718938
10/8/2015,-0.466481281
10/9/2015,-0.457686509
10/12/2015,-0.568940381
10/13/2015,-0.58828888
10/14/2015,-0.589168357
10/15/2015,-0.600601561
10/16/2015,-0.561904563
10/19/2015,-0.622148754
10/20/2015,-0.637099867
10/21/2015,-0.652490719
10/22/2015,-0.644575424
10/23/2015,-0.678875036
10/26/2015,-0.706138831
10/27/2015,-0.740438443
10/28/2015,-0.619950061
10/29/2015,-0.614673197
10/30/2015,-0.59136705
11/2/2015,-0.611155288
11/3/2015,-0.533761291
11/4/2015,-0.603239993
11/5/2015,-0.652490719
11/6/2015,-0.692506934
11/9/2015,-0.710975956
11/10/2015,-0.696024843
11/11/2015,-0.752311386
11/12/2015,-0.804200544
11/13/2015,-0.848614145
11/16/2015,-0.804640282
11/17/2015,-0.851692315
11/18/2015,-0.848174406
11/19/2015,-0.857408917
11/20/2015,-0.864004996
11/23/2015,-0.804200544
11/24/2015,-0.754949818
11/25/2015,-0.747474261
11/26/2015,-0.767262499
11/27/2015,-0.805959498
11/30/2015,-0.80859793
12/1/2015,-0.799803158
12/2/2015,-0.883793235
12/3/2015,-0.833663032
12/4/2015,-0.882474019
12/7/2015,-0.984493379
12/8/2015,-0.99064972
12/9/2015,-1.006040572
