"V1","V2"
1271.6,1252.75698611845
1274.4,1259.18297835044
1260.1,1273.09955462954
1263.7,1268.89851226263
1265.4,1261.94043382729
1268.9,1264.6420022641
1266.2,1267.22599267875
1276.5,1267.8879304271
1283.1,1271.5729155759
1291.2,1279.80497001976
1291.4,1287.03328094105
1294.8,1291.15260643705
1303.6,1292.76549986765
1303.1,1298.7922791762
1300.9,1302.67580683163
1298.9,1301.48183486876
1310.2,1299.4865206813
1319.1,1304.27657103669
1317.2,1314.09618815916
1323,1316.7689297824
1322.2,1319.23221562139
1318.3,1321.12912291945
1308.4,1318.74192647908
1308.7,1312.57490574616
1307.1,1307.60174421448
1323.7,1307.0206597819
1334.5,1316.26566021525
1338.1,1329.55125317923
1334.8,1335.72305519553
1324.2,1334.68713934497
1327.5,1327.34840275103
1336.8,1324.7712178486
1335.7,1332.50706961722
1341,1334.81376742463
1335.5,1338.30080909749
1338.8,1336.20039664713
1336,1336.5673433901
1341.9,1335.72874864705
1359.7,1339.09685512475
1362.8,1356.32192112495
1358,1362.77384442761
1365.6,1359.40504034474
1374.2,1364.9062248388
1338.08,1373.87423262006
1388.3,1349.41036225024
1383,1383.57785094642
1395.1,1384.40614871893
1396.4,1392.67881269991
1381.2,1394.71170001819
1378.9,1384.10199618301
1373.8,1380.21285515188
1376.3,1375.71662557922
1372.2,1376.96673778402
1357.4,1373.96234941381
1358.3,1361.17318831848
1364,1358.38233176516
1342.4,1363.54006510601
1345.1,1348.48073217831
1359.2,1343.53258253386
1349.7,1356.4751942478
1336.3,1351.96273620263
1336.9,1339.89448885108
1333.2,1335.46488004639
1324.7,1333.21868368859
1323.4,1326.88795957897
1325.6,1322.51917671828
1322.6,1323.27202196681
1324.3,1322.46882173123
1334.7,1322.16719088397
1343.7,1329.89104897219
1338.8,1340.17538579642
1346.6,1339.33031342005
1354.7,1343.72916643351
1353.9,1352.7098549605
1336.7,1354.03551803113
1333.5,1341.6634265155
1340.1,1333.33362413993
1330.4,1336.92433887444
1331.1,1332.81368501683
1328.4,1329.43256614506
1329.7,1328.03245138655
1320.3,1327.77693971151
1322,1323.18439970564
1327.8,1319.87626583908
1320.6,1324.1448618541
1327.5,1322.44203659009
1328.3,1323.43477227842
1319.8,1326.5475276579
1332.4,1322.29891388443
1326.5,1326.73152057742
1334.9,1327.48883690911
1339.4,1330.73666330652
1327.1,1336.82361062104
1332.5,1330.78476626288
1336.3,1329.18634336982
1330.8,1333.74413229811
1331.5,1331.52263064716
1350.1,1329.8417787313
1329.4,1345.08134380283
1336.5,1336.40396237977
1347.1,1332.87372429983
1291.66,1343.54222819031
1342.3,1326.82618179517
1349.4,1334.45686495839
1349.7,1347.03327355333
1337.1,1349.20295643102
1328,1340.37216142392
1333.5,1330.27447995789
1328.7,1330.20561216968
1315.8,1329.17663899491
1316.9,1320.79478043152
1303.7,1315.12450089121
1298.8,1310.20013550014
1297.5,1300.98137388478
1292.6,1297.78492933488
1299.4,1295.14852442754
1307.9,1295.58746841304
1308.1,1303.12165194385
1316.3,1307.0780511064
1315.5,1311.55076647061
1321.1,1314.63013940914
1322,1317.39146766006
1330.5,1320.21097357259
1277.9,1326.01552683157
1339.2,1315.16175419805
1343,1334.22188770419
1350.1,1340.92699455004
1362.6,1347.81331108928
1308.7,1360.63382465804
1370.5,1336.33469077416
1374.2,1366.42467545774
1377.4,1374.66897363914
1378.4,1377.94520612391
1376.8,1379.24934910332
1370,1378.0922160305
1377,1372.23441792831
1380.1,1376.97124425862
1394.4,1380.57751011067
1341.8,1391.90294179337
1396.8,1357.04228081689
1399.7,1390.75331943005
1387.4,1396.96151182627
1394.3,1389.02985993333
1394,1392.5611317905
1398.2,1393.04144960499
1419.1,1395.77379747678
1425.9,1407.18578139969
1416,1410.78016158701
1403.6,1407.31627913247
1398.5,1400.73100005086
1401.7,1396.80098055867
1406.7,1398.31814194666
1396.2,1401.40695311762
1394.5,1395.63645797059
1387,1393.56252843723
1372.3,1388.15019273727
1376.4,1375.85215658348
1372.3,1376.81744258003
1383.1,1374.06225230781
1387,1382.38038619558
1415.1,1386.802627572
1413.7,1404.74125207997
1415,1405.73922472779
1347.8,1406.245874923
1390.1,1364.58845681076
1392.3,1385.64633840904
1393.1,1391.44756134375
1390.7,1392.22824359185
1394.8,1390.64127962033
1381.3,1393.22852013447
1380.8,1383.96748753151
1367.6,1381.74604299273
1385.8,1371.02393048724
1382.1,1383.99532851037
1397.5,1383.38279289256
1389.5,1394.23125445231
1384,1390.27081236505
1386.9,1385.32062205158
1383.7,1386.83483200603
1390.3,1384.76052159767
1388.6,1389.32999475761
1380.6,1388.83011723477
1375.2,1382.60027294226
1380.6,1377.13283158285
1375.1,1380.73112710797
1385.5,1377.051670263
1391.1,1384.66529467141
1413.9,1390.10762695187
1419.9,1404.40935459048
1406.7,1408.32258799352
1387.8,1402.63778591402
1384.9,1390.07405008435
1384.9,1385.78765399647
1404.7,1385.42456264282
1395.4,1399.02270087099
1398.6,1394.94900140038
1387,1396.15213039816
1394.8,1388.62079672666
1398.5,1392.86517516885
1404.4,1396.03585264384
1418.9,1399.89325353466
1400.3,1407.43035614602
1406.6,1399.09144511437
1409.3,1401.25288012546
1408,1403.10598556047
1412.2,1402.61675135898
1407.5,1404.62532939876
1396.9,1402.5498521708
1382.7,1396.14472148496
1391.8,1385.28338592331
1381.6,1390.31246300259
1376.7,1383.79851699672
1382.3,1378.50240289226
1377.8,1382.31618091638
1365.1,1379.4926387587
1364,1368.44370311431
1371.1,1364.93722700773
1373.4,1370.8920792681
1372.9,1374.08781461935
1372.5,1374.05188159751
1371.7,1373.63065101166
1380.8,1372.88793218563
1379.1,1380.40798368759
1376.6,1380.31527889006
1348.5,1378.03677275395
1350.1,1356.02431844153
1347.9,1349.27990731048
1349.2,1347.97933468174
1349,1348.38390991502
1350,1348.58673244124
1347.4,1349.33519363241
1362.4,1347.56429415979
1361.4,1359.92663691103
1297.6,1362.14990701964
1354.6,1334.94916023312
1357.6,1348.96025810233
1355.9,1357.12890821362
1350.9,1356.41570057088
1349.4,1351.95166315247
