date,actual,predict
2/6/2018,1372.3,1361.847463
2/7/2018,1376.4,1355.202389
2/8/2018,1372.3,1357.145388
2/9/2018,1383.1,1355.202389
2/12/2018,1387,1360.169876
2/13/2018,1415.1,1361.847463
2/14/2018,1413.7,1372.306675
2/15/2018,1415,1371.847644
2/16/2018,1347.8,1372.274085
2/19/2018,1390.1,1342.006654
2/20/2018,1392.3,1363.138922
2/21/2018,1393.1,1364.033417
2/22/2018,1390.7,1364.354229
2/23/2018,1394.8,1363.38467
2/26/2018,1381.3,1365.028158
2/27/2018,1380.8,1359.375281
2/28/2018,1367.6,1359.152245
3/1/2018,1385.8,1352.885629
3/2/2018,1382.1,1361.337626
3/5/2018,1397.5,1359.730039
3/6/2018,1389.5,1366.077035
3/7/2018,1384,1362.891817
3/8/2018,1386.9,1360.562322
3/9/2018,1383.7,1361.805189
3/12/2018,1390.3,1360.431864
3/13/2018,1388.6,1363.220988
3/14/2018,1380.6,1362.518601
3/15/2018,1375.2,1359.062747
3/16/2018,1380.6,1356.584093
3/19/2018,1375.1,1359.062747
3/20/2018,1385.5,1356.537044
3/21/2018,1391.1,1361.209291
3/22/2018,1413.9,1363.547752
3/23/2018,1419.9,1371.913588
3/26/2018,1406.7,1373.835683
3/27/2018,1387.8,1369.460393
3/28/2018,1384.9,1362.18426
3/29/2018,1384.9,1360.951565
3/30/2018,1404.7,1360.951565
4/2/2018,1395.4,1368.749252
4/3/2018,1398.6,1365.263506
4/4/2018,1387,1366.496912
4/5/2018,1394.8,1361.847463
4/6/2018,1398.5,1365.028158
4/9/2018,1404.4,1366.458917
4/10/2018,1418.9,1368.641436
4/11/2018,1400.3,1373.522773
4/12/2018,1406.6,1367.137465
4/13/2018,1409.3,1369.425149
4/16/2018,1408,1370.365313
4/17/2018,1412.2,1369.915591
4/18/2018,1407.5,1371.349122
4/19/2018,1396.9,1369.741166
4/20/2018,1382.7,1365.846206
4/23/2018,1391.8,1359.994421
4/24/2018,1381.6,1363.831707
4/25/2018,1376.7,1359.508617
4/26/2018,1382.3,1357.284767
4/27/2018,1377.8,1359.818327
4/30/2018,1365.1,1357.792608
5/1/2018,1364,1351.61335
5/2/2018,1371.1,1351.044588
5/3/2018,1373.4,1354.620071
5/4/2018,1372.9,1355.730717
5/7/2018,1372.5,1355.491213
5/8/2018,1371.7,1355.298836
5/9/2018,1380.8,1354.912011
5/10/2018,1379.1,1359.152245
5/11/2018,1376.6,1358.386318
5/14/2018,1348.5,1357.238349
5/15/2018,1350.1,1342.423668
5/16/2018,1347.9,1343.367617
5/17/2018,1349.2,1342.066379
5/18/2018,1349,1342.838221
5/21/2018,1350,1342.720027
5/22/2018,1347.4,1343.308995
5/23/2018,1362.4,1341.767253
5/24/2018,1361.4,1350.207412
5/25/2018,1297.6,1349.678178
5/28/2018,1354.6,1305.212884
5/29/2018,1357.6,1345.954535
5/30/2018,1355.9,1347.624423
5/31/2018,1350.9,1346.683467
6/1/2018,1349.4,1343.834807
6/4/2018,1354.1,1342.956214
6/5/2018,1353.5,1345.671998
6/6/2018,1354.4,1345.331347
6/7/2018,1354.4,1345.841666
6/8/2018,1355.5,1345.841666
6/11/2018,1351.8,1346.46005
6/12/2018,1353.5,1344.356605
6/13/2018,1360.6,1345.331347
6/14/2018,1329.3,1349.251444
6/15/2018,1331.1,1330.063812
6/18/2018,1329.2,1331.305894
6/19/2018,1325.3,1329.994289
6/20/2018,1321,1327.240003
6/21/2018,1321.3,1324.105487
6/22/2018,1319.2,1324.327526
6/25/2018,1309.6,1322.762648
6/26/2018,1305.7,1315.291302
6/27/2018,1300.2,1312.106098
6/28/2018,1303.9,1307.466345
6/29/2018,1289.9,1310.606671
7/2/2018,1302.4,1298.314245
7/3/2018,1258.1,1309.342995
7/4/2018,1307.6,1266.449645
7/5/2018,1304.8,1313.668725
7/6/2018,1309,1311.358701
7/9/2018,1305.1,1314.806929
7/10/2018,1293.3,1311.608348
7/11/2018,1295.4,1301.401682
7/12/2018,1289.7,1303.276063
7/13/2018,1288.2,1298.130611
7/16/2018,1275.3,1296.746235
7/17/2018,1275.7,1284.331884
7/18/2018,1271.1,1284.730209
7/19/2018,1277.5,1280.09955
7/20/2018,1271.4,1286.512286
7/23/2018,1271.5,1280.404851
7/24/2018,1277.4,1280.506517
7/25/2018,1271.8,1286.41373
7/26/2018,1269.3,1280.81121
7/27/2018,1268,1278.258233
7/30/2018,1270.1,1276.918349
7/31/2018,1264.3,1279.078602
8/1/2018,1256.5,1273.059677
8/2/2018,1259.7,1264.715809
8/3/2018,1254.1,1268.172207
8/6/2018,1254.7,1262.094456
8/7/2018,1257.3,1262.752074
8/8/2018,1256.3,1265.584121
8/9/2018,1255.1,1264.498299
8/10/2018,1234.6,1263.189648
8/13/2018,1236.4,1239.993161
8/14/2018,1220.2,1242.085235
8/15/2018,1219.2,1222.986716
8/16/2018,1219.3,1221.791937
8/17/2018,1229.6,1221.911474
8/20/2018,1234.9,1234.137743
8/21/2018,1238.2,1240.342458
8/22/2018,1228.4,1244.168108
8/23/2018,1248.2,1232.723665
8/24/2018,1251.2,1255.550364
8/27/2018,1249.6,1258.895116
8/28/2018,1246.5,1257.115575
8/29/2018,1239.5,1253.639864
8/30/2018,1241.1,1245.666408
8/31/2018,1206.3,1247.503268
9/3/2018,1233.6,1206.3
9/4/2018,1236,1238.827104
9/5/2018,1239.1,1241.621108
9/6/2018,1235.5,1245.205942
9/7/2018,1235,1241.040318
9/10/2018,1237.6,1240.458836
9/11/2018,1246.6,1243.47487
9/12/2018,1243.8,1253.752541
9/13/2018,1236.6,1250.584084
9/14/2018,1241.2,1242.317129
9/17/2018,1238.3,1247.617801
9/18/2018,1244.1,1244.283544
9/19/2018,1247,1250.924879
9/20/2018,1236.9,1254.202883
9/21/2018,1240,1242.664755
9/24/2018,1240.8,1246.241294
9/25/2018,1234.4,1247.159476
9/26/2018,1222.4,1239.760162
9/27/2018,1231.3,1225.610277
9/28/2018,1227,1236.135445
10/1/2018,1242.7,1231.070027
10/2/2018,1238.7,1249.331873
10/3/2018,1237.5,1244.744985
10/4/2018,1242.2,1243.359227
10/5/2018,1224.9,1248.761341
10/8/2018,1227.8,1228.582263
10/9/2018,1229.4,1232.015461
10/10/2018,1264,1233.902284
10/11/2018,1258.1,1272.743933
10/12/2018,1266.9,1266.449645
10/15/2018,1267.3,1275.778104
10/16/2018,1263.4,1276.193424
10/17/2018,1266.6,1272.11117
10/18/2018,1265.3,1275.466103
10/19/2018,1261.3,1274.109067
10/22/2018,1273.5,1269.883259
10/23/2018,1267.6,1282.52913
10/24/2018,1269,1276.5044
10/25/2018,1272.3,1277.949772
10/26/2018,1263.7,1281.318014
10/29/2018,1261.5,1272.427763
10/30/2018,1250.8,1270.09632
10/31/2018,1274.8,1258.451172
11/1/2018,1269.9,1283.832805
11/2/2018,1269,1278.87381
11/5/2018,1263,1277.949772
11/6/2018,1265.4,1271.688388
11/7/2018,1262,1274.213743
11/8/2018,1245,1270.628167
11/9/2018,1239.6,1251.945388
11/12/2018,1237.5,1245.781448
11/13/2018,1246.2,1243.359227
11/14/2018,1251.7,1253.301615
11/15/2018,1259,1259.449153
11/16/2018,1261.6,1267.419988
11/19/2018,1257.5,1270.202782
11/20/2018,1264.7,1265.800764
11/21/2018,1228,1273.480005
11/22/2018,1260,1232.251613
11/23/2018,1259.7,1268.493913
11/26/2018,1250.4,1268.172207
11/27/2018,1260.2,1258.006598
11/28/2018,1260.8,1268.708158
11/29/2018,1256.5,1269.349806
11/30/2018,1270.2,1264.715809
12/3/2018,1277.4,1279.180923
