,date,gold,oil
798,1/20/2017,1266.9,52.42
799,1/23/2017,1276.6,52.75
800,1/24/2017,1271.8,53.18
801,1/25/2017,1258.8,52.75
802,1/26/2017,1250.6,53.78
803,1/27/2017,1249.4,53.17
804,1/30/2017,1254.1,52.63
805,1/31/2017,1269.5,52.81
806,2/1/2017,1267.2,53.88
807,2/2/2017,1278.3,53.54
808,2/3/2017,1279.9,53.83
809,2/6/2017,1291,53.01
810,2/7/2017,1294.1,52.17
811,2/8/2017,1296,52.34
812,2/9/2017,1293.1,53
813,2/10/2017,1292.2,53.86
814,2/13/2017,1282.6,52.93
815,2/14/2017,1282.6,53.2
816,2/15/2017,1291.9,53.11
817,2/16/2017,1300.4,53.36
818,2/17/2017,1297.1,53.4
819,2/20/2017,1238.2,53.97
820,2/21/2017,1296.9,54.06
821,2/22/2017,1291,53.59
822,2/23/2017,1309.4,54.45
823,2/24/2017,1316.1,53.99
824,2/27/2017,1316.8,54.05
825,2/28/2017,1312,54.01
826,3/1/2017,1308.8,53.83
827,3/2/2017,1291.6,52.61
828,3/3/2017,1286.5,53.33
829,3/6/2017,1285,53.2
830,3/7/2017,1275.4,53.14
831,3/8/2017,1269.6,50.28
832,3/9/2017,1263.4,49.28
833,3/10/2017,1261.7,48.49
834,3/13/2017,1264.3,48.4
835,3/14/2017,1264,47.72
836,3/15/2017,1262,48.86
837,3/16/2017,1288.4,48.75
838,3/17/2017,1291.3,48.78
839,3/20/2017,1294.9,48.22
840,3/21/2017,1306.7,47.34
841,3/22/2017,1309.2,48.04
842,3/23/2017,1306.2,47.7
843,3/24/2017,1308.1,47.97
844,3/27/2017,1315.1,47.73
845,3/28/2017,1315.2,48.37
846,3/29/2017,1313.2,49.51
847,3/30/2017,1304.4,50.35
848,3/31/2017,1307.5,50.6
849,4/3/2017,1310.4,50.24
850,4/4/2017,1314.5,51.03
851,4/5/2017,1304.6,51.15
852,4/6/2017,1309.5,51.7
853,4/7/2017,1313.9,52.24
854,4/10/2017,1310.4,53.08
855,4/11/2017,1330.5,53.4
856,4/12/2017,1334.4,53.11
857,4/13/2017,1343.8,53.18
858,4/14/2017,1289.65,53.18
859,4/17/2017,1346.9,52.65
860,4/18/2017,1348,52.41
861,4/19/2017,1337.6,50.44
862,4/20/2017,1338.8,50.27
863,4/21/2017,1344.1,49.62
864,4/24/2017,1332.9,49.23
865,4/25/2017,1323.1,49.56
866,4/26/2017,1320.1,49.62
867,4/27/2017,1321.8,48.97
868,4/28/2017,1324.2,49.33
869,5/1/2017,1311.7,48.84
870,5/2/2017,1313.2,47.66
871,5/3/2017,1304.7,47.82
872,5/4/2017,1284.5,45.52
873,5/5/2017,1282.9,46.22
874,5/8/2017,1283.2,46.43
875,5/9/2017,1272.2,45.88
876,5/10/2017,1274.7,47.33
877,5/11/2017,1280,47.83
878,5/12/2017,1282.8,47.84
879,5/15/2017,1285.1,48.85
880,5/16/2017,1291.5,48.66
881,5/17/2017,1313.3,49.07
882,5/18/2017,1306.3,49.35
883,5/19/2017,1307,50.33
884,5/22/2017,1315.1,50.73
885,5/23/2017,1309.2,51.47
886,5/24/2017,1306.8,51.36
887,5/25/2017,1310.4,48.9
888,5/26/2017,1321.9,49.8
889,5/29/2017,1266.69,49.97
890,5/30/2017,1316.2,49.66
891,5/31/2017,1325.6,48.32
892,6/1/2017,1320.3,48.36
893,6/2/2017,1330.2,47.66
894,6/5/2017,1332.7,47.4
895,6/6/2017,1347.1,48.19
896,6/7/2017,1342.7,45.72
897,6/8/2017,1329,45.64
898,6/9/2017,1321,45.83
899,6/12/2017,1318.6,46.08
900,6/13/2017,1318.3,46.46
901,6/14/2017,1325.3,44.73
902,6/15/2017,1303.9,44.46
903,6/16/2017,1305.8,44.74
904,6/19/2017,1296.1,44.2
905,6/20/2017,1292.5,43.23
906,6/21/2017,1294.6,42.53
907,6/22/2017,1298.1,42.74
908,6/23/2017,1305.4,43.01
909,6/26/2017,1295.4,43.38
910,6/27/2017,1296.1,44.24
911,6/28/2017,1298.5,44.74
912,6/29/2017,1295.4,44.93
913,6/30/2017,1291.7,46.04
